"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,3,"Servicios financieros (excepto seguros y pensiones)",64,44.66,"Marzo"
2007,3,"Servicios inmobiliarios",68,32.61,"Marzo"
2007,3,"Servicios jurídicos y de contabilidad",69,65.71,"Marzo"
2007,3,"Servicios sin alojamiento",88,73.08,"Marzo"
2007,3,"Servicios sociales con alojamiento",87,86.05,"Marzo"
2007,3,"Servicios veterinarios",75,44,"Marzo"
2007,3,"Servicios y asesoramiento de dirección y gestión empresarial",70,33.83,"Marzo"
2007,3,"Silvicultura y explotación forestal",2,4.3,"Marzo"
2007,3,"Sin clasificar",999999,30.23,"Marzo"
2007,3,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.04,"Marzo"
2007,3,"Telecomunicaciones",61,36.61,"Marzo"
2007,3,"Transporte aéreo",51,41.16,"Marzo"
2007,3,"Transporte marítimo y pluvial",50,16.3,"Marzo"
2007,3,"Transporte terrestre y por tuberías",49,5.34,"Marzo"
2007,3,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,14.12,"Marzo"
2007,4,"Actividades administrativas de oficinas y empresas",82,42.14,"Abril"
2007,4,"Actividades de apoyo a la minería",9,5.61,"Abril"
2007,4,"Actividades de construcción especializada",43,5.13,"Abril"
2007,4,"Actividades de investigación y seguridad",80,9.04,"Abril"
2007,4,"Actividades de organismos extraterritoriales",99,53.31,"Abril"
2007,4,"Actividades de procesamiento de información",63,38.55,"Abril"
2007,4,"Actividades deportivas, recreativas y de entretenimiento",93,30.45,"Abril"
2007,4,"Administración pública, defensa y seguridad social",84,42.58,"Abril"
2007,4,"Agencias de viajes, servicios de reservas y actividades conexas",79,53.44,"Abril"
2007,4,"Agricultura, ganadería, caza y servicios relacionados",1,11.18,"Abril"
2007,4,"Almacenamiento y logística",52,15.66,"Abril"
2007,4,"Alquiler y leasing",77,17.81,"Abril"
2007,4,"Captación, depuración y distribución de agua",36,18.55,"Abril"
2007,4,"Comercio al por mayor excepto autos y motos",46,24.03,"Abril"
2007,4,"Comercio al por menor excepto autos y motos",47,41.63,"Abril"
2007,4,"Construcción de edificios y partes",41,2.95,"Abril"
2007,4,"Descontaminación y otros servicios",39,9.23,"Abril"
2007,4,"Edición",58,37.72,"Abril"
2007,4,"Elaboración de bebidas",11,14.8,"Abril"
2007,4,"Elaboración de prendas de vestir",14,60.05,"Abril"
2007,4,"Elaboración de productos alimenticios",10,20.1,"Abril"
2007,4,"Elaboración de productos de cuero",15,21.91,"Abril"
2007,4,"Elaboración de productos de madera",16,6.95,"Abril"
2007,4,"Elaboración de productos de papel",17,13.45,"Abril"
2007,4,"Elaboración de productos de tabaco",12,20.25,"Abril"
2007,4,"Elaboracion de productos farmaceuticos",21,35.7,"Abril"
2007,4,"Elaboración de productos textiles",13,23.74,"Abril"
2007,4,"Enseñanza",85,74.16,"Abril"
2007,4,"Extracción de carbon y lignito",5,3.16,"Abril"
2007,4,"Extracción de minerales metálicos",7,8.05,"Abril"
2007,4,"Extracción de petroleo crudo y gas natural",6,17.06,"Abril"
2007,4,"Fabricación de aparatos de uso doméstico",27,12.15,"Abril"
2007,4,"Fabricación de equipo de transporte",30,6.36,"Abril"
2007,4,"Fabricación de equipos automotores",29,9.28,"Abril"
2007,4,"Fabricación de equipos electrónicos",26,25.48,"Abril"
2007,4,"Fabricación de maquinaria",28,8.41,"Abril"
2007,4,"Fabricación de muebles y colchones",31,12.55,"Abril"
2007,4,"Fabricación de productos de caucho y plástico",22,13.17,"Abril"
2007,4,"Fabricación de productos de hornos de coque",19,19.53,"Abril"
2007,4,"Fabricación de productos de vidrio y minerales no metálicos",23,6.96,"Abril"
2007,4,"Fabricación de productos metálicos",25,8.02,"Abril"
2007,4,"Fabricación de sustancias químicas",20,22.8,"Abril"
2007,4,"Imprentas y editoriales",18,20.08,"Abril"
2007,4,"Industrias básicas de hierro y acero",24,6,"Abril"
2007,4,"Industrias manufactureras diversas",32,22.23,"Abril"
2007,4,"Ingeniería civil",42,5.28,"Abril"
2007,4,"Investigación y desarrollo científico",72,58.99,"Abril"
2007,4,"Juegos de azar, apuestas",92,47.91,"Abril"
2007,4,"Otras actividades profesionales, científicas y técnicas",74,34.33,"Abril"
2007,4,"Otras industrias extractivas",8,6.93,"Abril"
2007,4,"Otros servicios personales",96,43.14,"Abril"
2007,4,"Pesca y acuicultura",3,13.88,"Abril"
2007,4,"Programación y radiodifusión",60,26.59,"Abril"
2007,4,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.68,"Abril"
2007,4,"Reparación de computadoras y equipos de uso doméstico",95,17.17,"Abril"
2007,4,"Reparacion de maquinaria y equipo",33,8.44,"Abril"
2007,4,"Servicio de correo y mensajería",53,13.55,"Abril"
2007,4,"Servicios a edificios y actividades de jardinería",81,47.12,"Abril"
2007,4,"Servicios artísticos y de espectáculos",90,32.26,"Abril"
2007,4,"Servicios audiovisuales",59,40.04,"Abril"
2007,4,"Servicios auxiliares de la actividad financiera y de seguros",66,48.77,"Abril"
2007,4,"Servicios de alojamiento",55,52.46,"Abril"
2007,4,"Servicios de arquitectura e ingeniería",71,13.78,"Abril"
2007,4,"Servicios de asociaciones",94,47.98,"Abril"
2007,4,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,58.13,"Abril"
2007,4,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,11.14,"Abril"
2007,4,"Servicios de expendio de alimentos y bebidas",56,37.22,"Abril"
2007,4,"Servicios de obtención y dotación de personal",78,25.96,"Abril"
2007,4,"Servicios de programación, consultoría informática y actividades conexas",62,31.4,"Abril"
2007,4,"Servicios de publicidad e investigación de mercado",73,48.27,"Abril"
2007,4,"Servicios de salud humana",86,71.59,"Abril"
2007,4,"Servicios de seguros, reaseguros y pensiones",65,51.76,"Abril"
2007,4,"Servicios financieros (excepto seguros y pensiones)",64,44.8,"Abril"
2007,4,"Servicios inmobiliarios",68,32.48,"Abril"
2007,4,"Servicios jurídicos y de contabilidad",69,65.78,"Abril"
2007,4,"Servicios sin alojamiento",88,73.42,"Abril"
2007,4,"Servicios sociales con alojamiento",87,85.82,"Abril"
2007,4,"Servicios veterinarios",75,44.02,"Abril"
2007,4,"Servicios y asesoramiento de dirección y gestión empresarial",70,33.61,"Abril"
2007,4,"Silvicultura y explotación forestal",2,4.34,"Abril"
2007,4,"Sin clasificar",999999,29.98,"Abril"
2007,4,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.07,"Abril"
2007,4,"Telecomunicaciones",61,36.44,"Abril"
2007,4,"Transporte aéreo",51,41.02,"Abril"
2007,4,"Transporte marítimo y pluvial",50,16.32,"Abril"
2007,4,"Transporte terrestre y por tuberías",49,5.26,"Abril"
2007,4,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,14.2,"Abril"
2007,5,"Actividades administrativas de oficinas y empresas",82,42.85,"Mayo"
2007,5,"Actividades de apoyo a la minería",9,5.5,"Mayo"
2007,5,"Actividades de construcción especializada",43,5.04,"Mayo"
2007,5,"Actividades de investigación y seguridad",80,9.07,"Mayo"
2007,5,"Actividades de organismos extraterritoriales",99,53.32,"Mayo"
2007,5,"Actividades de procesamiento de información",63,38.79,"Mayo"
2007,5,"Actividades deportivas, recreativas y de entretenimiento",93,30.54,"Mayo"
2007,5,"Administración pública, defensa y seguridad social",84,42.62,"Mayo"
2007,5,"Agencias de viajes, servicios de reservas y actividades conexas",79,53.28,"Mayo"
2007,5,"Agricultura, ganadería, caza y servicios relacionados",1,10.31,"Mayo"
2007,5,"Almacenamiento y logística",52,15.55,"Mayo"
2007,5,"Alquiler y leasing",77,17.89,"Mayo"
2007,5,"Captación, depuración y distribución de agua",36,18.66,"Mayo"
2007,5,"Comercio al por mayor excepto autos y motos",46,24.02,"Mayo"
2007,5,"Comercio al por menor excepto autos y motos",47,41.62,"Mayo"
2007,5,"Construcción de edificios y partes",41,2.92,"Mayo"
2007,5,"Descontaminación y otros servicios",39,9.24,"Mayo"
2007,5,"Edición",58,36.75,"Mayo"
2007,5,"Elaboración de bebidas",11,14.12,"Mayo"
2007,5,"Elaboración de prendas de vestir",14,59.81,"Mayo"
2007,5,"Elaboración de productos alimenticios",10,19.45,"Mayo"
2007,5,"Elaboración de productos de cuero",15,21.98,"Mayo"
2007,5,"Elaboración de productos de madera",16,6.95,"Mayo"
2007,5,"Elaboración de productos de papel",17,13.39,"Mayo"
2007,5,"Elaboración de productos de tabaco",12,20.56,"Mayo"
2007,5,"Elaboracion de productos farmaceuticos",21,35.73,"Mayo"
2007,5,"Elaboración de productos textiles",13,23.93,"Mayo"
2007,5,"Enseñanza",85,74.12,"Mayo"
2007,5,"Extracción de carbon y lignito",5,3.66,"Mayo"
2007,5,"Extracción de minerales metálicos",7,8.04,"Mayo"
2007,5,"Extracción de petroleo crudo y gas natural",6,17.07,"Mayo"
2007,5,"Fabricación de aparatos de uso doméstico",27,12.11,"Mayo"
2007,5,"Fabricación de equipo de transporte",30,6.35,"Mayo"
2007,5,"Fabricación de equipos automotores",29,9.27,"Mayo"
2007,5,"Fabricación de equipos electrónicos",26,25.11,"Mayo"
2007,5,"Fabricación de maquinaria",28,8.35,"Mayo"
2007,5,"Fabricación de muebles y colchones",31,12.38,"Mayo"
2007,5,"Fabricación de productos de caucho y plástico",22,13.14,"Mayo"
2007,5,"Fabricación de productos de hornos de coque",19,19.51,"Mayo"
2007,5,"Fabricación de productos de vidrio y minerales no metálicos",23,7.02,"Mayo"
