"anio","clae2_desc","clae2","porc_medio"
2011,"Sin clasificar",999999,24.9
2011,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.32
2011,"Telecomunicaciones",61,37.01
2011,"Transporte aéreo",51,40.85
2011,"Transporte marítimo y pluvial",50,15.96
2011,"Transporte terrestre y por tuberías",49,5.31
2011,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,16.39
2012,"Actividades administrativas de oficinas y empresas",82,46.71
2012,"Actividades de apoyo a la minería",9,5.78
2012,"Actividades de construcción especializada",43,5.87
2012,"Actividades de investigación y seguridad",80,9.97
2012,"Actividades de organismos extraterritoriales",99,54.35
2012,"Actividades de procesamiento de información",63,37.31
2012,"Actividades deportivas, recreativas y de entretenimiento",93,32.39
2012,"Administración pública, defensa y seguridad social",84,49.58
2012,"Agencias de viajes, servicios de reservas y actividades conexas",79,54.51
2012,"Agricultura, ganadería, caza y servicios relacionados",1,11.68
2012,"Almacenamiento y logística",52,16.07
2012,"Alquiler y leasing",77,15.77
2012,"Captación, depuración y distribución de agua",36,19.02
2012,"Comercio al por mayor excepto autos y motos",46,24.84
2012,"Comercio al por menor excepto autos y motos",47,44.61
2012,"Construcción de edificios y partes",41,4.16
2012,"Descontaminación y otros servicios",39,11.62
2012,"Edición",58,37.92
2012,"Elaboración de bebidas",11,15.68
2012,"Elaboración de prendas de vestir",14,57.55
2012,"Elaboración de productos alimenticios",10,20.25
2012,"Elaboración de productos de cuero",15,25.57
2012,"Elaboración de productos de madera",16,7.82
2012,"Elaboración de productos de papel",17,13.39
2012,"Elaboración de productos de tabaco",12,17.8
2012,"Elaboracion de productos farmaceuticos",21,35.64
2012,"Elaboración de productos textiles",13,23.81
2012,"Enseñanza",85,73.8
2012,"Extracción de carbon y lignito",5,2.33
2012,"Extracción de minerales metálicos",7,7.96
2012,"Extracción de petroleo crudo y gas natural",6,17.89
2012,"Fabricación de aparatos de uso doméstico",27,12.97
2012,"Fabricación de equipo de transporte",30,9.32
2012,"Fabricación de equipos automotores",29,9.34
2012,"Fabricación de equipos electrónicos",26,28.56
2012,"Fabricación de maquinaria",28,9
2012,"Fabricación de muebles y colchones",31,12.82
2012,"Fabricación de productos de caucho y plástico",22,12.67
2012,"Fabricación de productos de hornos de coque",19,20.99
2012,"Fabricación de productos de vidrio y minerales no metálicos",23,7.42
2012,"Fabricación de productos metálicos",25,8.58
2012,"Fabricación de sustancias químicas",20,22.49
2012,"Imprentas y editoriales",18,21.02
